 	A	B	C	D	E	F	G	H	I	J	K	L	합계
맞았습니다	183	54	41	34	33	37	9	17	18	14	13	11	464
틀렸습니다	144	107	44	18	20	5	55	4	2	9	5	32	445
시간 초과		1	10	3		15		2	10	5		2	48
메모리 초과			1										1
출력 초과			1		1	1							3
런타임 에러	1	4	2	1		2	2	1	4	3		2	22
컴파일 에러	8	5		1				1	2			1	18
C++17	120	68	43	25	20	36	40	14	29	11	12	28	446
Java 8	4	1	2	1	3	1		1					13
Python 3	93	30	17	4	10		8	1	2	2	1	1	169
PyPy3	46	35	11	18	13	11	11	4	3	12	4	5	173
C99	12	1	4		2	1	3						23
C++11	1	1											2
C++14	1	1	1	1	1	1	2	2	1	5	1	4	21
Java 11	18	12	9	4									43
C++20	16	6	2	1	2	6	1	2				1	37
Ruby	3												3
Kotlin (JVM)	2	2											4
C#	7	7	7	1	1								23
node.js	5	2				2							9
Go	1												1
Rust 2021	6	5	3	2	2	2	1	1	1	1		9	33
Golfscript	1												1
맞은 사람	174	53	40	34	33	36	9	16	17	14	13	11	 
본 사람	121	142	105	81	67	58	54	51	48	42	44	57	 
정답율	54.464%	31.579%	41.414%	59.649%	61.111%	61.667%	13.636%	68.000%	50.000%	45.161%	72.222%	22.917%	46.354%
총 제출	336	171	99	57	54	60	66	25	36	31	18	48	1001
